input,output
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,3
89,4
90,6
91,9
92,12
93,16
94,20
95,25
96,31
97,36
98,42
99,48
100,54
101,60
102,66
103,73
104,78
105,84
106,90
107,95
108,100
109,105
110,110
111,118
112,125
113,132
114,139
115,145
116,152
117,159
118,166
119,173
120,180
121,187
122,195
123,201
124,208
125,215
126,222
127,228
128,234
129,238
130,242
131,246
132,249
133,251
134,252
135,254
136,254
137,255
138,255
139,255
140,255
141,255
142,255
143,255
144,255
145,255
146,255
147,255
148,255
149,255
150,255
151,255
152,255
153,255
154,255
155,255
156,255
157,255
158,255
159,255
160,255
161,255
162,255
163,255
164,255
165,255
166,255
167,255
168,255
169,255
170,255
171,255
172,255
173,255
174,255
175,255
176,255
177,255
178,255
179,255
180,255
181,255
182,255
183,255
184,255
185,255
186,255
187,255
188,255
189,255
190,255
191,255
192,255
193,255
194,255
195,255
196,255
197,255
198,255
199,255
200,255
201,255
202,255
203,255
204,255
205,255
206,255
207,255
208,255
209,255
210,255
211,255
212,255
213,255
214,255
215,255
216,255
217,255
218,255
219,255
220,255
221,255
222,255
223,255
224,255
225,255
226,255
227,255
228,255
229,255
230,255
231,255
232,255
233,255
234,255
235,255
236,255
237,255
238,255
239,255
240,255
241,255
242,255
243,255
244,255
245,255
246,255
247,255
248,255
249,255
250,255
251,255
252,255
253,255
254,255
255,255
